date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,drivers_license_number__c,first_name__c,Id,last_name__c,Name,social_security
2/21/1988,90590 Sauthoff Point,BERKELEY,MO,E178410236,Linda,a04i000000h8N8WAAU,Anderson,Linda Anderson,111111125
12/23/1981,50 School Pass,SHREWSBURY,MO,M752936715,Kathleen,a04i000000h8N8XAAU,Price,Kathleen Price,111111126
3/28/1966,12246 Southridge Way,JENNINGS,MO,P219344832,Kathleen,a04i000000h8N8aAAE,Harris,Kathleen Harris,111111127
7/28/1974,3 Judy Way,OLIVETTE,MO,E018635667,Marie,a04i000000h8N8bAAE,Armstrong,Marie Armstrong,111111128
9/26/1968,888 Carberry Center,FERGUSON,MO,C821440980,Frances,a04i000000h8N8cAAE,Reid,Frances Reid,111111129
8/15/1983,3 Meadow Ridge Court,JENNINGS,MO,,Jimmy,a04i000000h8N8dAAE,Graham,Jimmy Graham,111111130
8/8/1983,60246 Village Court,UPLANDS PARK,MO,W383058818,Willie,a04i000000h8N8fAAE,Brooks,Willie Brooks,111111131
4/1/1990,28414 Sherman Circle,CLAYTON,MO,Q699229118,Rebecca,a04i000000h8N8gAAE,Montgomery,Rebecca Montgomery,111111132
9/8/1982,2 Mandrake Crossing,BELLERIVE,MO,X607176222,Bruce,a04i000000h8N8hAAE,Oliver,Bruce Oliver,111111133
10/3/1982,363 Grayhawk Hill,SYCAMORE HILLS,MO,A622075732,Rachel,a04i000000h8N8iAAE,Brown,Rachel Brown,111111134
,34 Summerview Street,CLAYTON,MO,Y486081269,William,a04i000000h8N8jAAE,Cruz,William Cruz,111111135
10/7/1985,638 Lighthouse Bay Drive,WELLSTON,MO,Y716232211,Kathryn,a04i000000h8N8kAAE,Stephens,Kathryn Stephens,111111136
8/30/1977,41650 Brown Circle,BELLEFONTAINE NEIGHBORS,MO,A278311180,Maria,a04i000000h8N8lAAE,Davis,Maria Davis,111111137
5/21/1989,,BRECKENRIDGE HILLS,MO,P401261106,Brenda,a04i000000h8N8mAAE,Howell,Brenda Howell,111111138
11/15/1985,96 Melrose Place,MARYLAND HEIGHTS,MO,T931140471,Willie,a04i000000h8N8nAAE,Arnold,Willie Arnold,111111139
3/22/1958,5 Dakota Pass,GREENDALE,MO,R532950137,Judith,a04i000000h8N8oAAE,Moore,Judith Moore,111111140
6/7/1956,34 Thompson Trail,CHAMP,,I024478960,Randy,a04i000000h8NG5AAM,Grant,Randy Grant,111111141
6/11/1975,00790 Green Avenue,WILDWOOD,MO,B059077879,Elizabeth,a04i000000h8NG6AAM,James,Elizabeth James,111111142
10/8/1963,70468 Arapahoe Plaza,HANLEY HILLS,MO,K683019515,Alice,a04i000000h8NG7AAM,Sims,Alice Sims,111111143
2/26/1959,1 Summer Ridge Plaza,CLAYTON,MO,R512315387,Robert,a04i000000h8NG8AAM,Thomas,Robert Thomas,111111144
4/14/1971,,PACIFIC,MO,E560943688,Evelyn,a04i000000h8NG9AAM,Harvey,Evelyn Harvey,111111145
12/25/1952,428 Kropf Plaza,PASADENA HILLS,MO,,Karen,a04i000000h8NGAAA2,Martin,Karen Martin,111111146
,422 Miller Alley,UNIVERSITY CITY,MO,X903345414,Ralph,a04i000000h8NGBAA2,Griffin,Ralph Griffin,111111147
12/20/1981,578 Hayes Hill,BELLEFONTAINE NEIGHBORS,MO,V129537822,Anthony,a04i000000h8NGCAA2,Reed,Anthony Reed,111111148
9/4/1955,48483 Shasta Terrace,KIRKWOOD,MO,O284707033,Alan,a04i000000h8NGDAA2,Scott,Alan Scott,111111149
8/4/1989,2 Mcbride Circle,LADUE,MO,J999413618,Philip,a04i000000h8NGFAA2,Gonzalez,Philip Gonzalez,111111150
12/7/1986,1 Marcy Junction,VELDA CITY,MO,G333707797,Bonnie,a04i000000h8NGGAA2,Parker,Bonnie Parker,111111151
9/4/1989,,ST. ANN,,M184078317,Kevin,a04i000000h8NGHAA2,Turner,Kevin Turner,111111152
9/9/1972,593 Nelson Terrace,LADUE,MO,K059249800,Billy,a04i000000h8NGIAA2,Graham,Billy Graham,111111153
4/18/1996,91 Bayside Alley,CREVE COEUR,MO,D202966651,Kathy,a04i000000h8NGJAA2,Jordan,Kathy Jordan,111111154
4/8/1966,70549 Tony Center,MAPLEWOOD,MO,R281593697,Virginia,a04i000000h8NGKAA2,Bryant,Virginia Bryant,111111155
6/4/1979,96959 Macpherson Alley,FRONTENAC,MO,S735100845,Catherine,a04i000000h8NGLAA2,Daniels,Catherine Daniels,111111156
3/26/1977,1029 Eagan Road,WESTWOOD,MO,S186694593,Raymond,a04i000000h8NGMAA2,West,Raymond West,111111157
10/22/1991,52388 Straubel Way,BEVERLY HILLS,MO,S765779940,Brenda,a04i000000h8NGNAA2,Burns,Brenda Burns,111111158
7/18/1996,275 Johnson Junction,JENNINGS,MO,X760011880,Michael,a04i000000h8NGOAA2,Reyes,Michael Reyes,111111159
4/24/1960,7548 Londonderry Circle,LADUE,MO,O813114664,Ernest,a04i000000h8NGPAA2,Johnson,Ernest Johnson,111111160
10/12/1987,619 Annamark Street,VALLEY PARK,,T542424121,Victor,a04i000000h8NGQAA2,Howell,Victor Howell,111111161
1/9/1986,237 Blaine Avenue,HANLEY HILLS,MO,,Jessica,a04i000000h8NGSAA2,Franklin,Jessica Franklin,111111162
7/9/1976,0663 Twin Pines Crossing,OVERLAND,MO,S003004932,Andrew,a04i000000h8NGXAA2,Ryan,Andrew Ryan,111111163
11/19/1973,5 Loomis Place,DELLWOOD,MO,C591429316,Donna,a04i000000h8NGYAA2,Wheeler,Donna Wheeler,111111164
7/20/1961,450 Grover Drive,MAPLEWOOD,MO,N522791634,Jesse,a04i000000h8NGZAA2,Morales,Jesse Morales,111111165
3/3/1991,592 Sachs Way,WILBUR PARK,MO,B548205122,Andrea,a04i000000h8NGaAAM,Carr,Andrea Carr,111111166
5/28/1961,347 Mccormick Park,,MO,N002854770,Raymond,a04i000000h8NGbAAM,Gilbert,Raymond Gilbert,111111167
5/29/1968,534 Golf Course Road,CRESTWOOD,MO,,Theresa,a04i000000h8N8pAAE,Holmes,Theresa Holmes,111111168
9/1/1956,02549 Rowland Street,CHESTERFIELD,MO,D271550525,Daniel,a04i000000h8N8qAAE,Peterson,Daniel Peterson,111111169
12/18/1982,77423 Arizona Circle,OAKLAND,MO,Q166100641,Laura,a04i000000h8N8rAAE,Hart,Laura Hart,111111170
7/6/1964,53 Westerfield Drive,CHESTERFIELD,MO,,Beverly,a04i000000h8N8sAAE,Burke,Beverly Burke,111111171
4/15/1973,,TWIN OAKS,MO,Q459406730,Lillian,a04i000000h8N8tAAE,Daniels,Lillian Daniels,111111172
12/14/1972,6 Colorado Pass,ELLISVILLE,MO,,Karen,a04i000000h8N8uAAE,Woods,Karen Woods,111111173
3/27/1983,404 Spohn Center,WARSON WOODS,MO,Q195729294,Irene,a04i000000h8N8vAAE,Hart,Irene Hart,111111174
4/2/1992,92835 Boyd Place,MAPLEWOOD,MO,,Pamela,a04i000000h8N8wAAE,Allen,Pamela Allen,111111175
4/26/1951,8033 Anthes Parkway,JENNINGS,MO,E960669510,Andrew,a04i000000h8N8xAAE,Phillips,Andrew Phillips,111111176
7/22/1959,9 Eastwood Plaza,VINITA TERRACE,MO,D209338504,Donald,a04i000000h8N8yAAE,Pierce,Donald Pierce,111111177
9/30/1963,57894 Melrose Hill,WARSON WOODS,,Y095205604,Paula,a04i000000h8N8zAAE,Mitchell,Paula Mitchell,111111178
8/15/1953,71397 Farwell Point,CLARKSON VALLEY,MO,I856410952,Jeremy,a04i000000h8N90AAE,Woods,Jeremy Woods,111111179
6/27/1960,0 Crowley Trail,COUNTRY LIFE ACRES,MO,O440180670,Thomas,a04i000000h8N91AAE,Mendoza,Thomas Mendoza,111111180
11/8/1974,91 Anzinger Circle,UPLANDS PARK,MO,E470710578,Aaron,a04i000000h8N92AAE,Gomez,Aaron Gomez,111111181
1/30/1961,8957 Kinsman Terrace,VINITA PARK,MO,V500593939,Timothy,a04i000000h8N93AAE,Hill,Timothy Hill,111111182
2/17/1967,03058 Heath Point,SHREWSBURY,MO,H905816250,Sharon,a04i000000h8N94AAE,Riley,Sharon Riley,111111183
1/22/1995,793 Westridge Avenue,BELLERIVE,MO,,Julie,a04i000000h8N95AAE,Gutierrez,Julie Gutierrez,111111184
5/3/1972,319 Gina Parkway,PACIFIC,MO,H991362039,Jeffrey,a04i000000h8N96AAE,Palmer,Jeffrey Palmer,111111185
8/15/1971,65313 Marquette Pass,FRONTENAC,MO,M946151196,Nicole,a04i000000h8N97AAE,Simmons,Nicole Simmons,111111186
5/12/1977,4 Independence Alley,LAKESHIRE,MO,J554932546,Evelyn,a04i000000h8N98AAE,Alexander,Evelyn Alexander,111111187
5/11/1981,8474 Algoma Drive,SHREWSBURY,MO,W841874088,Laura,a04i000000h8N99AAE,Harper,Laura Harper,111111188
10/8/1974,,NORWOOD COURT,MO,S705750658,Jose,a04i000000h8N9AAAU,Peterson,Jose Peterson,111111189
10/29/1995,6775 Muir Alley,GREEN PARK,MO,J668193168,Deborah,a04i000000h8N9BAAU,James,Deborah James,111111190
12/15/1982,558 Cardinal Plaza,VALLEY PARK,MO,D875433304,Jessica,a04i000000h8N9CAAU,Cole,Jessica Cole,111111191
10/28/1958,3784 Vera Court,BLACK JACK,MO,D542241139,Bobby,a04i000000h8N9DAAU,Greene,Bobby Greene,111111192
7/10/1983,97374 Dottie Center,BELLA VILLA,MO,H484075603,Marie,a04i000000h8N9EAAU,Bowman,Marie Bowman,111111193
5/19/1982,03350 Merry Trail,NORMANDY,MO,X573585223,Anna,a04i000000h8N9FAAU,Griffin,Anna Griffin,111111194
,4 Vermont Lane,WILBUR PARK,MO,J416429761,Steven,a04i000000h8N9GAAU,Williams,Steven Williams,111111195
5/17/1991,101 Boyd Court,BEL-NOR,MO,P184303014,Joshua,a04i000000h8N9KAAU,Hamilton,Joshua Hamilton,111111196
4/5/1964,850 Esker Circle,ST. LOUIS CITY,MO,D912386935,Joseph,a04i000000h8N9LAAU,Henderson,Joseph Henderson,111111197
7/21/1987,969 Summer Ridge Plaza,FRONTENAC,MO,A805069466,Benjamin,a04i000000h8N9MAAU,Gordon,Benjamin Gordon,111111198
1/14/1987,7 Oakridge Plaza,MANCHESTER,MO,B917976115,Victor,a04i000000h8NGeAAM,Peters,Victor Peters,111111199
8/6/1952,3 Browning Terrace,BELLEFONTAINE NEIGHBORS,MO,A522185747,Amanda,a04i000000h8N9NAAU,Richardson,Amanda Richardson,111111200
10/28/1984,4090 Monica Point,FLORISSANT,MO,,Jimmy,a04i000000h8N9OAAU,Washington,Jimmy Washington,111111201
1/25/1982,1 Coolidge Way,CREVE COEUR,MO,U217289411,Jacqueline,a04i000000h8N9PAAU,Fox,Jacqueline Fox,111111202
3/31/1983,68 Ronald Regan Way,HILLSDALE,MO,Y122690349,Shawn,a04i000000h8N9QAAU,Moreno,Shawn Moreno,111111203
5/3/1995,44277 Jackson Park,UNIVERSITY CITY,MO,W148620057,Matthew,a04i000000h8N9RAAU,Collins,Matthew Collins,111111204
5/3/1953,7 Waywood Terrace,BEL-RIDGE,MO,S154800183,Virginia,a04i000000h8N9SAAU,Johnston,Virginia Johnston,111111205
2/18/1987,960 Cody Lane,GREEN PARK,MO,D586046057,Rebecca,a04i000000h8N9TAAU,Myers,Rebecca Myers,111111206
10/14/1957,7 Briar Crest Pass,BERKELEY,MO,B934985461,Richard,a04i000000h8N9UAAU,Johnson,Richard Johnson,111111207
2/6/1958,6257 Orin Plaza,PINE LAWN,MO,X112787385,Michelle,a04i000000h8N9VAAU,Greene,Michelle Greene,111111208
5/22/1995,,MACKENZIE,MO,,Steve,a04i000000h8N9WAAU,Shaw,Steve Shaw,111111209
11/2/1982,781 Trailsway Crossing,BELLA VILLA,MO,B068226329,Tammy,a04i000000h8N9XAAU,Harrison,Tammy Harrison,111111210
11/6/1993,950 Reindahl Point,CHESTERFIELD,MO,O567513456,Deborah,a04i000000h8NGfAAM,Gray,Deborah Gray,111111211
11/26/1986,08349 Hauk Way,PINE LAWN,MO,E759179183,Donald,a04i000000h8NGgAAM,Simmons,Donald Simmons,111111212
6/2/1988,,MANCHESTER,MO,A636298063,Justin,a04i000000h8NGhAAM,Fox,Justin Fox,111111213
8/9/1961,7811 Kings Pass,HILLSDALE,MO,V767008534,Chris,a04i000000h8NGiAAM,Johnston,Chris Johnston,111111214
6/4/1961,7585 Main Drive,BRECKENRIDGE HILLS,MO,E130195061,Diane,a04i000000h8NGlAAM,Webb,Diane Webb,111111215
7/24/1988,9245 Ludington Way,BELLA VILLA,MO,D405933034,Joe,a04i000000h8NGmAAM,Alvarez,Joe Alvarez,111111216
8/16/1982,7995 Leroy Point,GREEN PARK,MO,O259368051,Barbara,a04i000000h8NGnAAM,Coleman,Barbara Coleman,111111217
8/30/1955,919 Parkside Circle,NORTHWOODS,MO,G458517178,Brian,a04i000000h8NGoAAM,Grant,Brian Grant,111111218
11/14/1984,27848 Katie Plaza,EUREKA,MO,P522051049,Henry,a04i000000h8NGpAAM,Robinson,Henry Robinson,111111219
1/30/1966,7275 2nd Hill,BERKELEY,MO,O503628241,Ralph,a04i000000h8NGqAAM,King,Ralph King,111111220
1/25/1962,08923 Michigan Junction,GREEN PARK,MO,R014048609,Raymond,a04i000000h8NGrAAM,Elliott,Raymond Elliott,111111221
9/20/1979,52 Transport Circle,MARLBOROUGH,MO,J524780553,Norma,a04i000000h8NGsAAM,Warren,Norma Warren,111111222
5/21/1980,330 Milwaukee Park,OLIVETTE,MO,C197630200,Kathy,a04i000000h8NGuAAM,Alvarez,Kathy Alvarez,111111223
11/29/1975,7 Northwestern Parkway,SUNSET HILLS,MO,L778346545,Kenneth,a04i000000h8NGvAAM,Johnson,Kenneth Johnson,111111224
5/13/1972,13621 Fieldstone Trail,GREEN PARK,MO,G198719755,Martha,a04i000000h8NGwAAM,Carr,Martha Carr,111111225
,5279 Mcguire Parkway,HILLSDALE,MO,H950764285,Gary,a04i000000h8NGxAAM,Griffin,Gary Griffin,111111226
4/4/1976,05212 Raven Park,BELLA VILLA,MO,T762901262,Larry,a04i000000h8NGyAAM,Garza,Larry Garza,111111227
6/28/1994,89782 Hudson Place,CHARLACK,MO,M082906032,Walter,a04i000000h8NGzAAM,Black,Walter Black,111111228
9/26/1964,03 Northfield Center,KIRKWOOD,MO,D795053584,Tina,a04i000000h8NH0AAM,Butler,Tina Butler,111111229
10/16/1959,606 Ridgeview Plaza,BEL-NOR,MO,O337056655,Lawrence,a04i000000h8NH1AAM,Williams,Lawrence Williams,111111230
12/27/1967,68 Monica Circle,VINITA PARK,MO,C799443719,Jacqueline,a04i000000h8NH2AAM,Barnes,Jacqueline Barnes,111111231
9/9/1953,9469 John Wall Trail,SYCAMORE HILLS,MO,O226889304,Craig,a04i000000h8NH3AAM,Hansen,Craig Hansen,111111232
3/10/1965,5113 Blue Bill Park Junction,TWIN OAKS,MO,Z474733492,Helen,a04i000000h8NH4AAM,Garza,Helen Garza,111111233
6/10/1993,16467 Dorton Parkway,EUREKA,MO,,Todd,a04i000000h8NH5AAM,Riley,Todd Riley,111111234
5/3/1977,,COOL VALLEY,MO,R812147205,Jean,a04i000000h8NH6AAM,Bryant,Jean Bryant,111111235
6/10/1973,84496 Logan Lane,UNIVERSITY CITY,MO,Q363364176,Alice,a04i000000h8N9YAAU,Elliott,Alice Elliott,111111236
10/20/1960,5250 Bluejay Park,LAKESHIRE,MO,O887305820,Keith,a04i000000h8N9ZAAU,Gonzalez,Keith Gonzalez,111111237
8/30/1969,61048 Warbler Alley,WESTWOOD,MO,B468712028,Paul,a04i000000h8N9aAAE,Ruiz,Paul Ruiz,111111238
6/2/1977,,BEL-RIDGE,MO,,Michael,a04i000000h8N9bAAE,Allen,Michael Allen,111111239
11/5/1980,02 Di Loreto Street,ST. GEORGE,MO,X574811760,Carolyn,a04i000000h8N9cAAE,Cooper,Carolyn Cooper,111111240
6/2/1981,886 Luster Hill,KINLOCH,MO,,Martin,a04i000000h8N9dAAE,Hicks,Martin Hicks,111111241
3/17/1990,2 Laurel Terrace,FLORISSANT,MO,C120022960,Martha,a04i000000h8N9eAAE,Kelley,Martha Kelley,111111242
6/15/1961,9969 Dawn Circle,EUREKA,MO,B292285580,Paul,a04i000000h8N9fAAE,Gray,Paul Gray,111111243
3/14/1991,87 Anthes Road,CREVE COEUR,MO,Q630135300,Frank,a04i000000h8N9gAAE,Cook,Frank Cook,111111244
3/13/1965,34 Scott Trail,WILBUR PARK,MO,E400196160,Mildred,a04i000000h8N9hAAE,Kim,Mildred Kim,111111245
10/30/1991,,WILBUR PARK,MO,T461901696,Rachel,a04i000000h8N9iAAE,Lynch,Rachel Lynch,111111246
6/2/1955,45819 Green Pass,OLIVETTE,MO,J872847044,Lillian,a04i000000h8N9jAAE,Harvey,Lillian Harvey,111111247
12/6/1995,5361 Southridge Point,BEL-RIDGE,MO,Z107455548,Frank,a04i000000h8N9kAAE,Harris,Frank Harris,111111248
12/31/1990,95056 Del Mar Road,BELLEFONTAINE NEIGHBORS,MO,T789647926,Martha,a04i000000h8N9lAAE,Scott,Martha Scott,111111249
11/18/1952,2 Daystar Pass,SUNSET HILLS,MO,X605245330,Kathy,a04i000000h8N9mAAE,Fields,Kathy Fields,111111250
7/17/1958,7 Gulseth Crossing,VINITA TERRACE,MO,I669220264,Carolyn,a04i000000h8N9nAAE,Walker,Carolyn Walker,111111251
11/30/1980,6 Glacier Hill Terrace,ST. LOUIS CITY,MO,G387797628,Kathleen,a04i000000h8N9oAAE,Moreno,Kathleen Moreno,111111252
11/1/1979,006 Texas Crossing,WARSON WOODS,MO,L783461256,Chris,a04i000000h8N9pAAE,Lopez,Chris Lopez,111111253
8/12/1952,199 La Follette Circle,VINITA TERRACE,MO,,Benjamin,a04i000000h8N9qAAE,Scott,Benjamin Scott,111111254
12/25/1964,424 Rigney Terrace,ROCK HILL,MO,Q448648119,Eugene,a04i000000h8N9rAAE,Bailey,Eugene Bailey,111111255
8/24/1972,95625 Knutson Parkway,BRIDGETON,MO,W724227336,Linda,a04i000000h8N9sAAE,Wells,Linda Wells,111111256
5/4/1985,49925 Longview Drive,KINLOCH,MO,K578660821,Sandra,a04i000000h8N9tAAE,Burns,Sandra Burns,111111257
9/19/1951,43786 Carberry Hill,CHAMP,MO,H793890428,Melissa,a04i000000h8N9uAAE,Barnes,Melissa Barnes,111111258
5/3/1972,47847 David Trail,GREEN PARK,MO,,Russell,a04i000000h8N9vAAE,Hamilton,Russell Hamilton,111111259
5/9/1955,758 Golf Course Avenue,SHREWSBURY,MO,N782199452,Rachel,a04i000000h8N9wAAE,Harper,Rachel Harper,111111260
7/24/1955,8881 Melrose Lane,ST. LOUIS CITY,MO,H510344065,Sean,a04i000000h8N9xAAE,Greene,Sean Greene,111111261
8/11/1967,,WARSON WOODS,MO,G015869221,Andrew,a04i000000h8N9yAAE,Duncan,Andrew Duncan,111111262
10/27/1953,9 Lakewood Gardens Court,SUNSET HILLS,MO,,David,a04i000000h8N9zAAE,Mitchell,David Mitchell,111111263
10/9/1974,0391 Village Green Point,TOWN & COUNTRY,MO,P892555461,Jacqueline,a04i000000h8NA0AAM,Jenkins,Jacqueline Jenkins,111111264
7/17/1959,29 Farragut Hill,BELLERIVE,MO,Q813717209,Amanda,a04i000000h8NA1AAM,Chapman,Amanda Chapman,111111265
4/23/1981,9115 Merchant Park,WILDWOOD,MO,W725490066,Virginia,a04i000000h8NA2AAM,Flores,Virginia Flores,111111266
3/19/1971,025 Ridgeview Alley,PACIFIC,MO,A113335328,Adam,a04i000000h8NA3AAM,Oliver,Adam Oliver,111111267
1/20/1964,645 Morrow Pass,LADUE,MO,G903036285,Susan,a04i000000h8NA4AAM,Rice,Susan Rice,111111268
6/2/1995,789 Dryden Center,PASADENA HILLS,MO,K988561548,Laura,a04i000000h8NH7AAM,Ramos,Laura Ramos,111111269
4/23/1974,121 Eagan Crossing,VINITA TERRACE,MO,P175557651,Arthur,a04i000000h8NH8AAM,Campbell,Arthur Campbell,111111270
9/12/1976,36006 Mandrake Point,PASADENA HILLS,MO,H082244634,Johnny,a04i000000h8NH9AAM,Stevens,Johnny Stevens,111111271
12/20/1957,0 Crescent Oaks Place,CRYSTAL LAKE PARK,MO,B810597531,Jerry,a04i000000h8NHAAA2,Gonzalez,Jerry Gonzalez,111111272
12/26/1992,58043 Moulton Center,WILBUR PARK,,V609095519,Andrew,a04i000000h8NHBAA2,Harper,Andrew Harper,111111273
9/22/1974,,,MO,B277410618,Frances,a04i000000h8NHCAA2,Weaver,Frances Weaver,111111274
5/19/1958,,NORMANDY,MO,U858254189,Judy,a04i000000h8NHDAA2,Hicks,Judy Hicks,111111275
10/10/1981,5 3rd Terrace,CLARKSON VALLEY,,U074533730,Carlos,a04i000000h8NHEAA2,Freeman,Carlos Freeman,111111276
11/7/1973,8 Towne Place,ST. ANN,MO,,Mildred,a04i000000h8NHHAA2,Olson,Mildred Olson,111111277
3/13/1986,0932 Kipling Drive,BEVERLY HILLS,MO,Y836340159,Jimmy,a04i000000h8NHIAA2,Weaver,Jimmy Weaver,111111278
1/23/1969,69759 Dovetail Street,UPLANDS PARK,MO,B028316806,Kathleen,a04i000000h8NHJAA2,Diaz,Kathleen Diaz,111111279
9/7/1979,0517 Fieldstone Pass,TWIN OAKS,MO,K382190578,Linda,a04i000000h8NHKAA2,Brooks,Linda Brooks,111111280
9/5/1951,64708 Michigan Crossing,BELLERIVE,MO,U476258527,Jerry,a04i000000h8NHLAA2,Burton,Jerry Burton,111111281
9/26/1988,7 Canary Junction,HAZELWOOD,MO,E473569443,Michelle,a04i000000h8NHMAA2,Warren,Michelle Warren,111111282
6/12/1953,5479 Farragut Junction,MARLBOROUGH,MO,M401837278,Jonathan,a04i000000h8NHNAA2,Peterson,Jonathan Peterson,111111283
7/24/1966,64 Nelson Court,NORWOOD COURT,MO,L454589876,Ralph,a04i000000h8NHOAA2,Holmes,Ralph Holmes,111111284
5/13/1970,59374 Park Meadow Junction,WOODSON TERRACE,MO,R780127082,Maria,a04i000000h8NHPAA2,Walker,Maria Walker,111111285
9/4/1959,23 Kenwood Plaza,UPLANDS PARK,,,Dennis,a04i000000h8NHQAA2,Hall,Dennis Hall,111111286
8/2/1991,8 Ronald Regan Parkway,MARYLAND HEIGHTS,MO,C698928402,Betty,a04i000000h8NHRAA2,Parker,Betty Parker,111111287
7/31/1978,0 Charing Cross Park,MARLBOROUGH,MO,L155414613,Ralph,a04i000000h8NHSAA2,Reyes,Ralph Reyes,111111288
6/9/1956,9346 Eliot Circle,FERGUSON,MO,E099951391,Arthur,a04i000000h8NHTAA2,Ramirez,Arthur Ramirez,111111289
7/17/1963,0 Prentice Hill,BRECKENRIDGE HILLS,MO,Y278919763,Christine,a04i000000h8NHUAA2,Allen,Christine Allen,111111290
11/7/1961,69675 Del Mar Parkway,BRECKENRIDGE HILLS,,J010064058,Martha,a04i000000h8NHVAA2,Little,Martha Little,111111291
8/6/1989,3182 Randy Point,BELLA VILLA,MO,F389312337,Craig,a04i000000h8NHWAA2,Stone,Craig Stone,111111292
6/15/1994,20453 Upham Drive,VELDA VILLAGE HILLS,MO,Z333300358,Carol,a04i000000h8NHXAA2,Ray,Carol Ray,111111293
5/8/1987,313 Marcy Crossing,ST. LOUIS CITY,MO,P472148903,Gary,a04i000000h8NHYAA2,Gardner,Gary Gardner,111111294
3/28/1958,2 Daystar Road,BERKELEY,MO,H935071342,Annie,a04i000000h8NHZAA2,Alexander,Annie Alexander,111111295
8/9/1988,82 Derek Place,FERGUSON,MO,S217663922,Diana,a04i000000h8NHaAAM,Anderson,Diana Anderson,111111296
11/17/1955,,WEBSTER GROVES,MO,,Scott,a04i000000h8NHbAAM,Foster,Scott Foster,111111297
2/18/1986,5403 Darwin Lane,KINLOCH,MO,L279588982,Tina,a04i000000h8NHcAAM,Parker,Tina Parker,111111298
7/23/1983,139 Logan Way,VINITA PARK,MO,A852947679,Betty,a04i000000h8NHdAAM,Peterson,Betty Peterson,111111299
4/13/1960,13 Packers Street,CRESTWOOD,MO,V636674079,Paula,a04i000000h8NA5AAM,Harvey,Paula Harvey,111111300
3/17/1967,4 Knutson Drive,BELLA VILLA,MO,T059388404,Jeremy,a04i000000h8NA6AAM,Howell,Jeremy Howell,111111301
6/11/1962,71 Summer Ridge Point,LAKESHIRE,MO,E578114637,Kenneth,a04i000000h8NA9AAM,Hansen,Kenneth Hansen,111111302
12/16/1957,,,MO,I833891749,Frank,a04i000000h8NAAAA2,Martin,Frank Martin,111111303
8/1/1995,7273 Bashford Crossing,BEL-RIDGE,MO,Q750030873,Peter,a04i000000h8NABAA2,Brown,Peter Brown,111111304
5/10/1972,0 Dovetail Terrace,WOODSON TERRACE,MO,F074355981,Mary,a04i000000h8NACAA2,Watkins,Mary Watkins,111111305
7/14/1978,5 Lakewood Gardens Alley,CHESTERFIELD,MO,S242138551,Lisa,a04i000000h8NADAA2,Edwards,Lisa Edwards,111111306
3/11/1976,7903 Londonderry Parkway,,MO,E946697895,David,a04i000000h8NAEAA2,Rogers,David Rogers,111111307
9/29/1992,10560 8th Street,PASADENA PARK,MO,O196345537,Deborah,a04i000000h8NAFAA2,Nichols,Deborah Nichols,111111308
10/13/1963,9 Pearson Park,ST. LOUIS CITY,MO,O567042164,Samuel,a04i000000h8NAGAA2,Coleman,Samuel Coleman,111111309
10/9/1993,22 Declaration Center,WEBSTER GROVES,MO,M423601297,Janice,a04i000000h8NAHAA2,Roberts,Janice Roberts,111111310
4/18/1976,3578 Butterfield Hill,FRONTENAC,MO,Y176044621,Robin,a04i000000h8NAIAA2,Stephens,Robin Stephens,111111311
