citation_date__c,citation_hour__c,citation_number__c,citation_time__c,court_address__c,court_date__c,court_hour__c,court_location__c,court_time__c,Court__c,date_of_birth__c,defendant_address__c,defendant_city__c,defendant_state__c,DefendentID__c,drivers_license_number__c,first_name__c,Id,last_name__c,REC_ID__c,Name
1/26/2015,PM,853993851,1:04,1320 W. Lockwood Avenue,12/29/2015,PM,OAKLAND,1:04,a03i000000OQssTAAT,5/1/1955,153 Annamark Court,BRECKENRIDGE HILLS,MO,a04i000000h8N4kAAE,F334643862,Sandra,a02i000000c3ysWAAQ,Young,64,OAKLAND - 853993851 - 42030
8/26/2015,PM,744841015,2:04,1414 Evergreen,11/24/2015,PM,WELLSTON,2:04,a03i000000OQsstAAD,6/12/1953,6 Sommers Park,CREVE COEUR,MO,a04i000000h8N5kAAE,R736996895,Sara,a02i000000c3ysXAAQ,Mills,124,WELLSTON - 744841015 - 42242
3/12/2015,PM,533054828,2:16,1320 W. Lockwood Avenue,12/17/2015,PM,OAKLAND,2:16,a03i000000OQssTAAT,12/17/1994,62 Lake View Drive,BRECKENRIDGE HILLS,MO,a04i000000h8N5wAAE,P628779846,Evelyn,a02i000000c3ysYAAQ,Johnston,136,OAKLAND - 533054828 - 42075
3/28/2015,AM,530801761,2:55,1320 W. Lockwood Avenue,10/26/2015,PM,OAKLAND,2:55,a03i000000OQssTAAT,6/3/1991,41576 Bay Point,MOLINE ACRES,MO,a04i000000h8N6ZAAU,Q986608090,Kevin,a02i000000c3ysZAAQ,Morris,175,OAKLAND - 530801761 - 42091
1/18/2015,PM,59327931,3:38,1320 W. Lockwood Avenue,12/13/2015,PM,OAKLAND,3:38,a03i000000OQssTAAT,2/6/1978,4 Center Junction,CLAYTON,MO,a04i000000h8N7GAAU,T548660236,Amanda,a02i000000c3ysaAAA,Hall,218,OAKLAND - 59327931 - 42022
7/16/2015,PM,390205015,3:46,1414 Evergreen,12/29/2015,PM,WELLSTON,3:46,a03i000000OQsstAAD,4/5/1994,884 Cordelia Road,ROCK HILL,MO,a04i000000h8N7OAAU,Z573585724,Diana,a02i000000c3ysbAAA,Gibson,226,WELLSTON - 390205015 - 42201
8/25/2015,PM,479777363,4:28,1414 Evergreen,12/14/2015,PM,WELLSTON,4:28,a03i000000OQsstAAD,4/13/1994,07 International Alley,OLIVETTE,MO,a04i000000h8N84AAE,Q871358681,Christine,a02i000000c3yscAAA,Ray,268,WELLSTON - 479777363 - 42241
9/1/2015,PM,682537724,5:00,1320 W. Lockwood Avenue,12/18/2015,PM,OAKLAND,12:30,a03i000000OQssTAAT,3/28/1966,12246 Southridge Way,JENNINGS,MO,a04i000000h8N8aAAE,P219344832,Kathleen,a02i000000c3ysdAAA,Harris,300,OAKLAND - 682537724 - 42248
4/17/2015,PM,684834875,5:16,1320 W. Lockwood Avenue,12/14/2015,PM,OAKLAND,12:46,a03i000000OQssTAAT,9/1/1956,02549 Rowland Street,CHESTERFIELD,MO,a04i000000h8N8qAAE,D271550525,Daniel,a02i000000c3yseAAA,Peterson,316,OAKLAND - 684834875 - 42111
8/19/2015,AM,248138704,5:59,1414 Evergreen,9/17/2015,PM,WELLSTON,1:29,a03i000000OQsstAAD,11/2/1982,781 Trailsway Crossing,BELLA VILLA,MO,a04i000000h8N9XAAU,B068226329,Tammy,a02i000000c3ysfAAA,Harrison,359,WELLSTON - 248138704 - 42235
6/4/2015,AM,927349784,6:01,1320 W. Lockwood Avenue,12/8/2015,PM,OAKLAND,1:31,a03i000000OQssTAAT,10/20/1960,5250 Bluejay Park,LAKESHIRE,MO,a04i000000h8N9ZAAU,O887305820,Keith,a02i000000c3ysgAAA,Gonzalez,361,OAKLAND - 927349784 - 42159
7/31/2015,PM,938707097,8:38,1414 Evergreen,12/3/2015,PM,WELLSTON,4:08,a03i000000OQsstAAD,6/15/1980,02 Comanche Center,PAGEDALE,MO,a04i000000h8NC6AAM,K019254891,Margaret,a02i000000c3yshAAA,West,518,WELLSTON - 938707097 - 42216
9/7/2015,PM,598895829,9:20,1414 Evergreen,10/25/2015,PM,WELLSTON,12:20,a03i000000OQsstAAD,6/1/1974,938 Farmco Avenue,LAKESHIRE,MO,a04i000000h8NCmAAM,K891656551,Ann,a02i000000c3ysiAAA,Garcia,560,WELLSTON - 598895829 - 42254
5/27/2015,PM,650491737,11:20,1320 W. Lockwood Avenue,10/10/2015,PM,OAKLAND,2:20,a03i000000OQssTAAT,4/24/1969,30972 Upham Center,WILBUR PARK,MO,a04i000000h8NEhAAM,T683472623,Virginia,a02i000000c3ysjAAA,Hicks,680,OAKLAND - 650491737 - 42151
5/3/2015,PM,722282032,3:15,7005 Florence Avenue,10/2/2015,PM,JENNINGS,1:44,a03i000000OQssGAAT,4/5/1995,572 Hudson Pass,PASADENA PARK,MO,a04i000000h8NIUAA2,R099646423,Lori,a02i000000c3yxaAAA,Chavez,914,JENNINGS - 722282032 - 42127
3/15/2015,AM,865768074,12:21,6428 Jesse Jackson Avenue,10/9/2015,PM,HILLSDALE,12:21,a03i000000OQssFAAT,3/12/1987,5 Hagan Street,KIRKWOOD,MO,a04i000000h8N45AAE,,Marie,a02i000000c3yxbAAA,Schmidt,21,HILLSDALE - 865768074 - 42078
8/11/2015,AM,380783968,1:03,10405 St. Charles Rock Road,11/19/2015,PM,ST. ANN,1:03,a03i000000OQssfAAD,5/1/1955,153 Annamark Court,BRECKENRIDGE HILLS,MO,a04i000000h8N4kAAE,,Sandra,a02i000000c3yxcAAA,Young,63,ST. ANN - 380783968 - 42227
6/9/2015,PM,48706444,1:06,10405 St. Charles Rock Road,9/14/2015,PM,ST. ANN,1:06,a03i000000OQssfAAD,5/1/1955,153 Annamark Court,BRECKENRIDGE HILLS,MO,a04i000000h8N4kAAE,,Sandra,a02i000000c3yxdAAA,Young,66,ST. ANN - 48706444 - 42164
3/5/2015,PM,872461615,1:30,6428 Jesse Jackson Avenue,10/27/2015,PM,HILLSDALE,1:30,a03i000000OQssFAAT,1/10/1972,56099 Reinke Parkway,PINE LAWN,MO,a04i000000h8N5CAAU,I486054826,Patricia,a02i000000c3yxeAAA,Fields,90,HILLSDALE - 872461615 - 42068
5/19/2015,PM,959602676,2:38,6428 Jesse Jackson Avenue,10/19/2015,PM,HILLSDALE,2:38,a03i000000OQssFAAT,6/22/1958,642 Mcguire Crossing,PASADENA HILLS,MO,a04i000000h8N6IAAU,W228612902,Bobby,a02i000000c3yxfAAA,Hill,158,HILLSDALE - 959602676 - 42143
2/28/2015,PM,224268499,3:10,10405 St. Charles Rock Road,11/16/2015,PM,ST. ANN,3:10,a03i000000OQssfAAD,5/23/1973,,WILDWOOD,MO,a04i000000h8N6oAAE,V153017469,Jane,a02i000000c3yxgAAA,Reyes,190,ST. ANN - 224268499 - 42063
2/10/2015,AM,637205087,4:41,10405 St. Charles Rock Road,11/18/2015,PM,ST. ANN,12:11,a03i000000OQssfAAD,2/28/1977,36 Fremont Drive,WILBUR PARK,MO,a04i000000h8N8HAAU,,Sara,a02i000000c3yxhAAA,Morgan,281,ST. ANN - 637205087 - 42045
7/7/2015,AM,687462726,7:13,6428 Jesse Jackson Avenue,12/17/2015,PM,HILLSDALE,2:43,a03i000000OQssFAAT,9/23/1995,288 Little Fleur Point,COOL VALLEY,MO,a04i000000h8NAjAAM,E028980932,Anne,a02i000000c3yxiAAA,Richardson,433,HILLSDALE - 687462726 - 42192
5/17/2015,AM,303306924,7:41,6428 Jesse Jackson Avenue,,PM,HILLSDALE,3:11,a03i000000OQssFAAT,7/2/1986,238 Monument Place,UPLANDS PARK,MO,a04i000000h8NBBAA2,F764627392,Louise,a02i000000c3yxjAAA,Sims,461,HILLSDALE - 303306924 - 42141
5/20/2015,AM,287533680,7:53,6428 Jesse Jackson Avenue,10/20/2015,PM,HILLSDALE,3:23,a03i000000OQssFAAT,6/10/1988,0615 Laurel Circle,VELDA VILLAGE HILLS,MO,a04i000000h8NBNAA2,A362390591,Joshua,a02i000000c3yxkAAA,Banks,473,HILLSDALE - 287533680 - 42144
8/31/2015,AM,492518354,8:13,6428 Jesse Jackson Avenue,11/13/2015,PM,HILLSDALE,3:43,a03i000000OQssFAAT,5/3/1955,21 Park Meadow Trail,OVERLAND,MO,a04i000000h8NBhAAM,O088897751,Louis,a02i000000c3yxlAAA,George,493,HILLSDALE - 492518354 - 42247
2/5/2015,PM,401459958,9:10,6428 Jesse Jackson Avenue,11/23/2015,PM,HILLSDALE,12:10,a03i000000OQssFAAT,9/28/1979,41 Southridge Place,GLENDALE,MO,a04i000000h8NCcAAM,H616360864,Rachel,a02i000000c3yxmAAA,Wells,550,HILLSDALE - 401459958 - 42040
7/16/2015,AM,673098878,10:03,6428 Jesse Jackson Avenue,12/15/2015,PM,HILLSDALE,1:03,a03i000000OQssFAAT,1/1/1965,04843 Sheridan Junction,BRECKENRIDGE HILLS,MO,a04i000000h8NDTAA2,W370431465,Dorothy,a02i000000c3yxnAAA,Gordon,603,HILLSDALE - 673098878 - 42201
5/29/2015,PM,384775459,10:42,6428 Jesse Jackson Avenue,,PM,HILLSDALE,1:42,a03i000000OQssFAAT,12/11/1967,3 Division Point,TWIN OAKS,MO,a04i000000h8NE6AAM,B723809878,Arthur,a02i000000c3yxoAAA,Long,642,HILLSDALE - 384775459 - 42153
9/7/2015,AM,171870609,10:55,10405 St. Charles Rock Road,,PM,ST. ANN,1:55,a03i000000OQssfAAD,10/2/1950,00808 Pankratz Junction,,MO,a04i000000h8NEJAA2,W264844796,Joan,a02i000000c3yxpAAA,Wagner,655,ST. ANN - 171870609 - 42254
8/4/2015,PM,805534388,1:29,6428 Jesse Jackson Avenue,9/13/2015,PM,HILLSDALE,4:28,a03i000000OQssFAAT,7/24/1988,9245 Ludington Way,BELLA VILLA,MO,a04i000000h8NGmAAM,D405933034,Joe,a02i000000c3yxqAAA,Alvarez,808,HILLSDALE - 805534388 - 42220
3/27/2015,AM,285746858,1:40,6428 Jesse Jackson Avenue,9/19/2015,PM,HILLSDALE,12:09,a03i000000OQssFAAT,,5279 Mcguire Parkway,HILLSDALE,MO,a04i000000h8NGxAAM,H950764285,Gary,a02i000000c3yxrAAA,Griffin,819,HILLSDALE - 285746858 - 42090
7/1/2015,PM,759655860,2:05,10405 St. Charles Rock Road,11/4/2015,PM,ST. ANN,12:34,a03i000000OQssfAAD,9/26/1988,7 Canary Junction,HAZELWOOD,MO,a04i000000h8NHMAA2,E473569443,Michelle,a02i000000c3yxsAAA,Warren,844,ST. ANN - 759655860 - 42186
1/8/2015,PM,912447107,2:17,10405 St. Charles Rock Road,12/18/2015,PM,ST. ANN,12:46,a03i000000OQssfAAD,5/8/1987,313 Marcy Crossing,ST. LOUIS CITY,MO,a04i000000h8NHYAA2,P472148903,Gary,a02i000000c3yxtAAA,Gardner,856,ST. ANN - 912447107 - 42012
6/11/2015,AM,494075235,3:14,8401 Midland Boulevard,10/30/2015,PM,CHARLACK,1:43,a03i000000OQsrsAAD,9/20/1953,60 Transport Drive,VINITA PARK,MO,a04i000000h8NITAA2,W420496064,Lisa,a02i000000c3z2lAAA,Williamson,913,CHARLACK - 494075235 - 42166
4/15/2015,AM,81539699,3:40,8401 Midland Boulevard,10/11/2015,PM,CHARLACK,2:09,a03i000000OQsrsAAD,10/16/1970,93217 Northport Trail,FRONTENAC,MO,a04i000000h8NItAAM,I205583137,Jean,a02i000000c3z2mAAA,Reid,939,CHARLACK - 81539699 - 42109
5/11/2015,AM,774683852,4:24,8401 Midland Boulevard,9/21/2015,PM,CHARLACK,2:53,a03i000000OQsrsAAD,11/26/1986,71 Carpenter Hill,GRANTWOOD VILLAGE,MO,a04i000000h8NJaAAM,O132835414,Michael,a02i000000c3z2nAAA,Tucker,983,CHARLACK - 774683852 - 42135
8/27/2015,AM,765288868,4:53,52 Young Drive,9/23/2015,PM,CALVERTON PARK,12:23,a03i000000OQsrrAAD,4/30/1969,62 Vermont Drive,EDMUNDSON,MO,a04i000000h8N8TAAU,Q989227612,Joseph,a02i000000c3z2oAAA,Cole,293,CALVERTON PARK - 765288868 - 42243
8/28/2015,PM,46424391,5:02,52 Young Drive,12/11/2015,PM,CALVERTON PARK,12:32,a03i000000OQsrrAAD,9/26/1968,888 Carberry Center,FERGUSON,MO,a04i000000h8N8cAAE,C821440980,Frances,a02i000000c3z2pAAA,Reid,302,CALVERTON PARK - 46424391 - 42244
7/29/2015,PM,513660350,5:22,52 Young Drive,11/2/2015,PM,CALVERTON PARK,12:52,a03i000000OQsrrAAD,4/2/1992,92835 Boyd Place,MAPLEWOOD,MO,a04i000000h8N8wAAE,,Pamela,a02i000000c3z2qAAA,Allen,322,CALVERTON PARK - 513660350 - 42214
2/8/2015,PM,822241090,5:26,52 Young Drive,10/13/2015,PM,CALVERTON PARK,12:56,a03i000000OQsrrAAD,8/15/1953,71397 Farwell Point,CLARKSON VALLEY,MO,a04i000000h8N90AAE,I856410952,Jeremy,a02i000000c3z2rAAA,Woods,326,CALVERTON PARK - 822241090 - 42043
5/9/2015,PM,522405279,7:22,52 Young Drive,12/7/2015,PM,CALVERTON PARK,2:52,a03i000000OQsrrAAD,3/29/1985,0 Derek Center,CLAYTON,MO,a04i000000h8NAsAAM,W271635919,Linda,a02i000000c3z2sAAA,Gonzales,442,CALVERTON PARK - 522405279 - 42133
6/18/2015,AM,755521424,8:01,52 Young Drive,12/29/2015,PM,CALVERTON PARK,3:31,a03i000000OQsrrAAD,6/18/1986,,MANCHESTER,MO,a04i000000h8NBUAA2,V685015237,Justin,a02i000000c3z2tAAA,Walker,481,CALVERTON PARK - 755521424 - 42173
3/26/2015,AM,137757292,8:33,52 Young Drive,11/29/2015,PM,CALVERTON PARK,4:03,a03i000000OQsrrAAD,3/22/1994,3777 Kedzie Point,HILLSDALE,MO,a04i000000h8NC1AAM,,Nancy,a02i000000c3z2uAAA,Spencer,513,CALVERTON PARK - 137757292 - 42089
3/25/2015,AM,368322417,8:51,52 Young Drive,10/17/2015,PM,CALVERTON PARK,4:21,a03i000000OQsrrAAD,4/27/1956,,CHAMP,MO,a04i000000h8NCJAA2,Q063465516,George,a02i000000c3z2vAAA,Cook,531,CALVERTON PARK - 368322417 - 42088
5/19/2015,PM,496317027,10:16,52 Young Drive,12/1/2015,PM,CALVERTON PARK,1:16,a03i000000OQsrrAAD,6/12/1954,266 Washington Trail,VELDA CITY,MO,a04i000000h8NDgAAM,W384111011,Judy,a02i000000c3z2wAAA,Clark,616,CALVERTON PARK - 496317027 - 42143
1/11/2015,AM,16243821,10:37,52 Young Drive,12/13/2015,PM,CALVERTON PARK,1:37,a03i000000OQsrrAAD,12/3/1962,029 South Avenue,GREENDALE,MO,a04i000000h8NE1AAM,M718460675,Martin,a02i000000c3z2xAAA,Meyer,637,CALVERTON PARK - 16243821 - 42015
2/23/2015,AM,632252986,12:50,52 Young Drive,12/12/2015,PM,CALVERTON PARK,3:49,a03i000000OQsrrAAD,4/14/1971,,PACIFIC,MO,a04i000000h8NG9AAM,E560943688,Evelyn,a02i000000c3z2yAAA,Harvey,769,CALVERTON PARK - 632252986 - 42058
8/28/2015,AM,865365678,1:58,52 Young Drive,10/27/2015,PM,CALVERTON PARK,12:27,a03i000000OQsrrAAD,10/10/1981,5 3rd Terrace,CLARKSON VALLEY,,a04i000000h8NHEAA2,U074533730,Carlos,a02i000000c3z2zAAA,Freeman,837,CALVERTON PARK - 865365678 - 42244
5/21/2015,AM,771125683,12:37,12355 Natural Bridge Road,12/23/2015,PM,BRIDGETON,12:37,a03i000000OQsrqAAD,7/16/1952,645 Sutherland Point,CRESTWOOD,MO,a04i000000h8N4KAAU,E938173438,Howard,a02i000000c3z30AAA,Butler,37,BRIDGETON - 771125683 - 42145
1/11/2015,PM,327319324,3:48,12355 Natural Bridge Road,10/6/2015,PM,BRIDGETON,3:48,a03i000000OQsrqAAD,10/23/1978,,EDMUNDSON,MO,a04i000000h8N7QAAU,P731661673,Antonio,a02i000000c3z31AAA,Tucker,228,BRIDGETON - 327319324 - 42015
7/14/2015,AM,861005840,7:17,12355 Natural Bridge Road,10/15/2015,PM,BRIDGETON,2:47,a03i000000OQsrqAAD,3/7/1964,841 Fallview Alley,UPLANDS PARK,MO,a04i000000h8NAnAAM,Z833401505,Henry,a02i000000c3z32AAA,Myers,437,BRIDGETON - 861005840 - 42199
2/21/2015,PM,878316377,10:14,12355 Natural Bridge Road,12/29/2015,PM,BRIDGETON,1:14,a03i000000OQsrqAAD,7/20/1982,4 Kensington Trail,,,a04i000000h8NDdAAM,T979228302,Aaron,a02i000000c3z33AAA,Garrett,614,BRIDGETON - 878316377 - 42056
1/12/2015,PM,582137749,11:34,12355 Natural Bridge Road,12/4/2015,PM,BRIDGETON,2:34,a03i000000OQsrqAAD,9/6/1958,,CRYSTAL LAKE PARK,MO,a04i000000h8NEvAAM,,Gregory,a02i000000c3z34AAA,Riley,694,BRIDGETON - 582137749 - 42016
9/9/2015,AM,519013106,1:49,7700 Natural Bridge Road,9/30/2015,PM,ST. LOUIS CITY,1:49,a03i000000OQtckAAD,4/11/1983,632 Oxford Drive,,MO,a04i000000h8N5VAAU,Q801382705,Diana,a02i000000c3yovAAA,Mason,109,ST. LOUIS CITY - 519013106 - 42256
5/20/2015,AM,157320841,2:11,10015 Manchester Road,11/2/2015,PM,ST. LOUIS CITY,2:11,a03i000000OQtckAAD,11/11/1982,97 Eagle Crest Circle,BEVERLY HILLS,MO,a04i000000h8N5rAAE,S414744510,Andrew,a02i000000c3yowAAA,Mendoza,131,ST. LOUIS CITY - 157320841 - 42144
7/24/2015,AM,705505484,2:17,10015 Manchester Road,12/5/2015,PM,ST. LOUIS CITY,2:17,a03i000000OQtckAAD,1/25/1980,42 Mcbride Point,PASADENA PARK,MO,a04i000000h8N5xAAE,,Lori,a02i000000c3yoxAAA,Matthews,137,ST. LOUIS CITY - 705505484 - 42209
2/17/2015,AM,529406739,2:21,120 City Hall Drive,11/2/2015,PM,ST. LOUIS CITY,2:21,a03i000000OQtckAAD,3/29/1987,44 Rieder Drive,ST. GEORGE,MO,a04i000000h8N61AAE,B984887436,Heather,a02i000000c3yoyAAA,Perez,141,ST. LOUIS CITY - 529406739 - 42052
3/23/2015,PM,649826763,2:40,3915 Roland Boulevard,10/3/2015,PM,ST. LOUIS CITY,2:40,a03i000000OQtckAAD,9/21/1979,,FENTON,MO,a04i000000h8N6KAAU,X451922096,Anthony,a02i000000c3yozAAA,Matthews,160,ST. LOUIS CITY - 649826763 - 42086
6/19/2015,AM,674054671,3:27,52 Young Drive,12/1/2015,PM,ST. LOUIS CITY,3:27,a03i000000OQtckAAD,8/24/1963,84366 Independence Terrace,CHAMP,MO,a04i000000h8N75AAE,Z586942802,Frank,a02i000000c3yp0AAA,Dixon,207,ST. LOUIS CITY - 674054671 - 42174
7/24/2015,PM,434518930,3:40,4400 Shrewsbury Avenue,10/17/2015,PM,ST. LOUIS CITY,3:40,a03i000000OQtckAAD,8/23/1986,83505 Bowman Park,KINLOCH,MO,a04i000000h8N7IAAU,O384015221,Melissa,a02i000000c3yp1AAA,Snyder,220,ST. LOUIS CITY - 434518930 - 42209
4/2/2015,AM,415621583,3:53,3915 Roland Boulevard,10/7/2015,PM,ST. LOUIS CITY,3:53,a03i000000OQtckAAD,8/3/1970,810 Glendale Trail,GREEN PARK,MO,a04i000000h8N7VAAU,,Laura,a02i000000c3yp2AAA,Murray,233,ST. LOUIS CITY - 415621583 - 42096
7/7/2015,PM,501353876,4:14,300 Park Drive,10/29/2015,PM,ST. LOUIS CITY,4:14,a03i000000OQtckAAD,8/3/1970,810 Glendale Trail,GREEN PARK,MO,a04i000000h8N7VAAU,,Laura,a02i000000c3yp3AAA,Murray,254,ST. LOUIS CITY - 501353876 - 42192
3/15/2015,PM,157542286,4:16,16860 Main Street,9/28/2015,PM,ST. LOUIS CITY,4:16,a03i000000OQtckAAD,8/3/1970,810 Glendale Trail,GREEN PARK,MO,a04i000000h8N7VAAU,,Laura,a02i000000c3yp4AAA,Murray,256,ST. LOUIS CITY - 157542286 - 42078
6/11/2015,AM,75103697,4:35,2560 Lucas & Hunt Road,12/6/2015,PM,ST. LOUIS CITY,12:05,a03i000000OQtckAAD,7/19/1966,03 Messerschmidt Junction,BRECKENRIDGE HILLS,MO,a04i000000h8N8BAAU,P389636572,Patricia,a02i000000c3yp5AAA,Wagner,275,ST. LOUIS CITY - 75103697 - 42166
3/11/2015,AM,762393903,4:39,7900 Carondelet Avenue,9/30/2015,PM,ST. LOUIS CITY,12:09,a03i000000OQtckAAD,6/28/1952,56 Namekagon Plaza,BEL-NOR,MO,a04i000000h8N8FAAU,K591597479,Phillip,a02i000000c3yp6AAA,Crawford,279,ST. LOUIS CITY - 762393903 - 42074
5/18/2015,PM,235246904,4:56,320 Benton Street,10/6/2015,PM,ST. LOUIS CITY,12:26,a03i000000OQtckAAD,2/21/1988,90590 Sauthoff Point,BERKELEY,MO,a04i000000h8N8WAAU,E178410236,Linda,a02i000000c3yp7AAA,Anderson,296,ST. LOUIS CITY - 235246904 - 42142
7/13/2015,AM,905151175,5:19,8944 St. Charles Rock Road,9/26/2015,PM,ST. LOUIS CITY,12:49,a03i000000OQtckAAD,4/15/1973,,TWIN OAKS,MO,a04i000000h8N8tAAE,Q459406730,Lillian,a02i000000c3yp8AAA,Daniels,319,ST. LOUIS CITY - 905151175 - 42198
1/8/2015,PM,990448811,5:28,12355 Natural Bridge Road,,PM,ST. LOUIS CITY,12:58,a03i000000OQtckAAD,11/8/1974,91 Anzinger Circle,UPLANDS PARK,MO,a04i000000h8N92AAE,E470710578,Aaron,a02i000000c3yp9AAA,Gomez,328,ST. LOUIS CITY - 990448811 - 42012
2/22/2015,AM,794141974,5:37,200 Highlands Blvd. Dr.,11/19/2015,PM,ST. LOUIS CITY,1:07,a03i000000OQtckAAD,10/29/1995,6775 Muir Alley,GREEN PARK,MO,a04i000000h8N9BAAU,J668193168,Deborah,a02i000000c3ypAAAQ,James,337,ST. LOUIS CITY - 794141974 - 42057
3/9/2015,PM,33540011,5:40,975 Pennsylvania Avenue,12/11/2015,PM,ST. LOUIS CITY,1:10,a03i000000OQtckAAD,7/10/1983,97374 Dottie Center,BELLA VILLA,MO,a04i000000h8N9EAAU,H484075603,Marie,a02i000000c3ypBAAQ,Bowman,340,ST. LOUIS CITY - 33540011 - 42072
7/24/2015,PM,241063495,5:48,7700 Natural Bridge Road,9/13/2015,PM,ST. LOUIS CITY,1:18,a03i000000OQtckAAD,7/21/1987,969 Summer Ridge Plaza,FRONTENAC,MO,a04i000000h8N9MAAU,A805069466,Benjamin,a02i000000c3ypCAAQ,Gordon,348,ST. LOUIS CITY - 241063495 - 42209
1/28/2015,AM,483160534,5:53,10015 Manchester Road,11/11/2015,PM,ST. LOUIS CITY,1:23,a03i000000OQtckAAD,5/3/1995,44277 Jackson Park,UNIVERSITY CITY,MO,a04i000000h8N9RAAU,W148620057,Matthew,a02i000000c3ypDAAQ,Collins,353,ST. LOUIS CITY - 483160534 - 42032
3/11/2015,PM,96790754,6:24,10015 Manchester Road,10/24/2015,PM,ST. LOUIS CITY,1:54,a03i000000OQtckAAD,5/9/1955,758 Golf Course Avenue,SHREWSBURY,MO,a04i000000h8N9wAAE,N782199452,Rachel,a02i000000c3ypEAAQ,Harper,384,ST. LOUIS CITY - 96790754 - 42074
8/25/2015,PM,294341939,12:11,1414 Evergreen,10/28/2015,PM,WELLSTON,3:10,a03i000000OQsstAAD,9/8/1957,1 Badeau Place,BALLWIN,MO,a04i000000h8NFWAA2,,Kathryn,a02i000000c3yskAAA,Mason,730,WELLSTON - 294341939 - 42241
8/21/2015,PM,613068701,12:13,1320 W. Lockwood Avenue,12/16/2015,PM,OAKLAND,3:12,a03i000000OQssTAAT,11/4/1960,992 Clove Drive,VELDA CITY,MO,a04i000000h8NFYAA2,M999153702,Barbara,a02i000000c3yslAAA,Morales,732,OAKLAND - 613068701 - 42237
2/23/2015,PM,77535166,1:31,1320 W. Lockwood Avenue,12/10/2015,PM,OAKLAND,4:30,a03i000000OQssTAAT,8/30/1955,919 Parkside Circle,NORTHWOODS,MO,a04i000000h8NGoAAM,G458517178,Brian,a02i000000c3ysmAAA,Grant,810,OAKLAND - 77535166 - 42058
